iter	Passed	Remaining
662	1378	700
663	1379	698
664	1381	695
665	1382	693
666	1383	690
667	1384	688
668	1385	685
669	1386	683
670	1388	680
671	1389	678
672	1390	675
673	1391	673
674	1392	670
675	1394	668
676	1395	665
677	1397	663
678	1398	661
679	1399	658
680	1400	656
681	1401	653
682	1403	651
683	1404	648
684	1405	646
685	1406	643
686	1407	641
687	1408	638
688	1410	636
689	1411	634
690	1413	631
691	1414	629
692	1415	627
693	1416	624
694	1418	622
695	1419	620
696	1420	617
697	1422	615
698	1423	612
699	1424	610
700	1425	608
701	1427	605
702	1428	603
703	1429	601
704	1431	598
705	1432	596
706	1434	594
707	1435	592
708	1436	589
709	1437	587
710	1440	585
711	1442	583
712	1444	581
713	1446	579
714	1447	577
715	1449	574
716	1451	572
717	1452	570
718	1455	568
719	1457	566
720	1459	564
721	1461	562
722	1462	560
723	1463	558
724	1465	555
725	1466	553
726	1468	551
727	1471	549
728	1471	547
729	1473	544
730	1474	542
731	1475	540
732	1477	538
733	1478	535
734	1479	533
735	1481	531
736	1482	529
737	1485	527
738	1487	525
739	1489	523
740	1490	521
741	1492	518
742	1493	516
743	1495	514
744	1497	512
745	1498	510
746	1500	508
747	1502	506
748	1504	504
749	1505	501
750	1507	499
751	1508	497
752	1510	495
753	1511	493
754	1513	491
755	1515	489
756	1516	486
757	1518	484
758	1520	482
759	1521	480
760	1523	478
761	1525	476
762	1526	474
763	1528	472
764	1530	470
765	1531	467
766	1533	465
767	1534	463
768	1536	461
769	1538	459
770	1540	457
771	1544	456
772	1547	454
773	1548	452
774	1549	449
775	1551	447
776	1553	445
777	1554	443
778	1555	441
779	1557	439
780	1558	437
781	1560	435
782	1562	433
783	1563	430
784	1565	428
785	1566	426
786	1567	424
787	1568	422
788	1570	419
789	1571	417
790	1572	415
791	1574	413
792	1576	411
793	1577	409
794	1578	407
795	1580	404
796	1581	402
797	1582	400
798	1584	398
799	1585	396
800	1586	394
801	1588	392
802	1590	390
803	1591	388
804	1592	385
805	1593	383
806	1594	381
807	1596	379
808	1597	377
809	1598	375
810	1599	372
811	1601	370
812	1603	368
813	1605	366
814	1606	364
815	1608	362
816	1609	360
817	1611	358
818	1612	356
819	1614	354
820	1616	352
821	1618	350
822	1621	348
823	1622	346
824	1624	344
825	1625	342
826	1627	340
827	1628	338
828	1630	336
829	1631	334
830	1632	332
831	1634	330
832	1635	327
833	1636	325
834	1638	323
835	1639	321
836	1640	319
837	1642	317
838	1643	315
839	1645	313
840	1646	311
841	1650	309
842	1651	307
843	1653	305
844	1654	303
845	1656	301
846	1657	299
847	1659	297
848	1661	295
849	1663	293
850	1665	291
851	1666	289
852	1667	287
853	1669	285
854	1670	283
855	1672	281
856	1673	279
857	1674	277
858	1676	275
859	1678	273
860	1680	271
861	1681	269
862	1682	267
863	1683	264
864	1684	262
865	1685	260
866	1686	258
867	1687	256
868	1688	254
869	1689	252
870	1691	250
871	1693	248
872	1694	246
873	1695	244
874	1697	242
875	1698	240
876	1699	238
877	1701	236
878	1702	234
879	1703	232
880	1705	230
881	1706	228
882	1708	226
883	1710	224
884	1711	222
885	1712	220
886	1713	218
887	1715	216
888	1716	214
889	1717	212
890	1718	210
891	1720	208
892	1725	206
893	1728	204
894	1729	202
895	1731	200
896	1733	199
897	1734	197
898	1736	195
899	1740	193
900	1742	191
901	1743	189
902	1745	187
903	1746	185
904	1747	183
905	1748	181
906	1749	179
907	1751	177
908	1753	175
909	1754	173
910	1756	171
911	1757	169
912	1758	167
913	1759	165
914	1760	163
915	1761	161
916	1763	159
917	1764	157
918	1765	155
919	1768	153
920	1769	151
921	1771	149
922	1772	147
923	1773	145
924	1774	143
925	1775	141
926	1777	139
927	1778	137
928	1779	135
929	1780	134
930	1781	132
931	1783	130
932	1785	128
933	1786	126
934	1787	124
935	1789	122
936	1790	120
937	1792	118
938	1793	116
939	1795	114
940	1796	112
941	1798	110
942	1800	108
943	1801	106
944	1803	104
945	1804	103
946	1806	101
947	1807	99
948	1809	97
949	1811	95
950	1812	93
951	1814	91
952	1815	89
953	1817	87
954	1818	85
955	1819	83
956	1821	81
957	1822	79
958	1823	77
959	1825	76
960	1827	74
961	1828	72
962	1830	70
963	1831	68
964	1833	66
965	1834	64
966	1835	62
967	1836	60
968	1837	58
969	1838	56
970	1839	54
971	1840	53
972	1842	51
973	1843	49
974	1844	47
975	1846	45
976	1847	43
977	1848	41
978	1850	39
979	1851	37
980	1852	35
981	1853	33
982	1854	32
983	1856	30
984	1858	28
985	1859	26
986	1861	24
987	1862	22
988	1864	20
989	1865	18
990	1866	16
991	1868	15
992	1869	13
993	1870	11
994	1872	9
995	1874	7
996	1875	5
997	1877	3
998	1878	1
999	1879	0
